Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
1958/12/28,05:34:36,,,29.5000,80.0000,,,,,,,,,,,uk,CGS,1918293
1958/12/28,05:34:38,,,30.0100,79.9400,,,,,,,,,,,uk,ISS,1918292
1958/12/28,05:34:44,,,29.0000,81.0000,,,,,,,,,,,uk,SHL,1918295
1958/12/28,05:34:50,,,31.5000,80.5000,,,,,,,,,,,uk,MOS,1918296
1958/12/28,05:34:40.95,0.20,2.990,29.9259,79.9000,4.02,3.163,31,15.0,,652,347,25,1.65,150.92,m i ke,ISC,605957147
1958/12/28,05:34:49.771382,,,30.102539,80.036204,,,,77.863932,,,,,,,,1958,
