Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
1975/01/19,08:01:59.52,,,32.3750,78.4900,,,,2.6,,,,,,,,CENT,602323601
1975/01/19,08:01:59.83,,1.550,32.3680,78.4900,7.0,4.0,24,5.0f,,354,302,,,,ke,EHB,9228038
1975/01/19,08:02:00.60,,1.570,32.3620,78.4780,6.7,4.0,24,10.0f,,390,337,,,,m i ke, ISC-EHB,612126962
1975/01/19,08:02:01,,,32.3851,78.4955,,,,,,,,,,,,EVBIB,601079947
1975/01/19,08:02:02.50,,1.600,32.4550,78.4300,,,,33.0,,180,,,,,de,NEIS,1617996
1975/01/19,08:02:03.00,,,32.6000,78.6000,,,,25.0,,,,,,,uk,MOS,1617997
1975/01/19,08:02:06.00,,,31.9000,79.2000,,,,,,,,,,,uk,PEK,1617998
1975/01/19,08:02:01.06,0.27,2.689,32.3511,78.4870,4.54,3.553,31,12.9,1.35,580,391,18,3.82,156.18,m i de,ISC,1618000
1975/01/19,08:02:4.8516,,,32.2998,78.4585,,,,33.2585,,,,,,,,NLL,
