,0,1,2,3
136,UGM,110.5231,-7.9125,-0.35
137,MAJO,138.207,36.5427,-0.4059
138,MJAR,138.2089,36.5417,-0.422
139,DHBB,44.387,14.561,-2.429
140,HAJJ,43.6167,15.7075,0.0
141,GRSN,0.0,0.0,0.0
142,SLMH,37.935,36.2123,-0.52
143,ANN,37.433,44.8,-0.035
144,GZT,37.1375,37.1356,0.0
145,TRBA,44.1333,13.2167,0.0
146,DRWC,36.6667,36.6211,-0.92
147,ASF,36.9,32.2,0.0
148,JHJ2,139.8167,33.1117,-0.07
149,KAPI,119.7517,-5.0142,-0.03
150,JHJ,139.7833,33.1192,-0.153
151,BTCH,36.4592,36.0375,-0.803
152,DNP,115.2102,-8.6772,-0.015
153,SALA,36.7329,32.7112,-1.67
154,MARH,36.4817,34.0261,-2.64
155,ARNB,35.9738,35.8436,-0.81
156,HWQ,35.9463,34.278,-1.14
157,MSEY,55.4792,-4.6737,-0.475
158,QASN,36.2761,33.5328,-0.99
159,BHL,35.6531,33.9039,-0.955
160,BRBR,35.9508,33.4112,-1.834
161,RCY,35.8188,33.4846,-1.36
162,MOS,37.625,55.7383,-0.121
163,TCHB,35.9688,32.6692,-0.458
164,MMAI,35.4,33.0,0.0
165,OBN,36.5687,55.1138,-0.13
166,SIM,34.116,44.949,-0.275
167,NKL,140.68,53.15,-0.015
168,ASAJ,142.5968,44.1165,-0.22
169,BR131,33.639,39.725,-1.44
170,BRTR,33.639,39.725,-1.44
171,EIL,34.9512,29.6699,-0.21
172,YSS,142.755,46.9539,-0.098
173,ERM,143.1571,42.015,-0.04
174,CSS,33.3306,34.9622,-0.396
175,TYV,142.656,50.863,-0.16
176,ANTO,32.7936,39.8689,-0.883
177,BR231,32.776,39.8417,-1.2578
178,MAMC,33.218,35.171,-0.24
179,SZAC,32.883,34.756,-0.512
180,CBIJ,142.1815,27.0927,-0.15
181,ALFC,32.599,35.157,-0.52
182,AKMC,32.33,35.027,-0.416
183,PPCY,32.345,34.8847,-0.06
184,WSI,120.2928,-9.6769,0.0
185,YUK,145.8614,44.0347,-0.028
186,TIXI,128.8665,71.649,-0.05
187,KIS,28.818,46.998,-0.185
188,KIEV,29.2083,50.6944,-0.1236
189,ISK,29.0592,41.0656,-0.132
190,KUR,147.8667,45.2333,-0.025
191,TIRR,28.4128,44.4581,-0.077
192,KSL,29.5833,36.119,-0.1
193,TLB,28.042,44.5858,-0.06
194,CFR,28.1362,45.178,-0.052
195,HARR,27.931,44.69,-0.118
196,PUL,30.3167,59.7667,-0.065
197,MNK,27.8333,54.5,-0.198
198,JOF,31.3124,62.9182,-0.18
199,LVZ,34.6514,67.8979,-0.63
200,BATI,123.7,-10.2,0.0
201,ISR,26.5431,45.1188,-0.75
202,EDRB,26.744,41.847,-0.209
203,MLR,25.945,45.4909,-1.36
204,SMG,26.837,37.7087,-0.34
205,APA,33.405,67.5689,-0.182
206,KARP,27.1612,35.5472,-0.528
207,VSU,26.7347,58.462,-0.063
208,EZN,26.3253,39.8258,-0.05
209,ALN,26.0456,40.8972,-0.11
210,NISR,27.1283,36.6117,-0.048
211,PRK,26.2717,39.2461,-0.1
212,BURAR,25.2168,47.6148,-1.15
213,RDO,25.5375,41.1462,-0.1
214,MTUR,25.063,45.2261,-1.018
215,FINES,26.0771,61.4436,-0.15
216,FIA1,26.0793,61.4445,-0.138
217,MA2,150.7678,59.5753,-0.339
218,SZH,25.9333,43.2667,-0.31
219,ARR,24.6336,45.3675,-0.871
220,SUF,26.1506,62.7192,-0.185
221,LIA,25.1831,39.8981,-0.06
222,PLD,24.7031,42.1049,-0.176
223,LVV,24.031,49.819,-0.32
224,SANT,25.459,36.371,0.0
225,NPS,25.6125,35.2625,-0.37
226,LOT,23.7694,45.4478,-1.24
227,SUW,23.1808,54.0125,-0.152
228,CJR,23.5981,46.7133,-0.75
229,BMR,23.4969,47.6728,-0.227
230,OUL,25.8964,65.0853,-0.06
231,MMB,23.7278,41.5892,-0.606
232,IDI,24.89,35.288,-0.75
233,SRE,23.2052,44.6622,-0.335
234,KWP,22.7075,49.6314,-0.448
235,OUR,23.9819,40.3344,-0.06
236,APE,25.5306,37.0689,-0.62
237,SRS,23.5922,41.1172,-0.4
238,PGB,24.1667,42.55,-0.775
239,GZR,22.7767,45.3933,-0.85
240,DEV,22.9033,45.8833,-0.25
241,SEY,152.3822,62.9328,-0.218
242,PAIG,23.6797,39.9272,-0.14
243,PLG,23.4456,40.3739,-0.58
244,VTS,23.2083,42.5916,-1.49
245,SOH,23.3539,40.8217,-0.67
246,UZH,22.293,48.631,-0.16
247,PVL,25.3333,43.2167,-0.097
248,KEV,27.0067,69.7553,-0.081
249,PTL,23.8647,38.0489,-0.5
250,VAM,24.1997,35.4069,-0.225
251,KNT,22.8981,41.1619,-0.38
252,GVD,24.0874,34.8391,-0.2
253,VAF,22.6715,63.0422,-0.055
254,GUMO,144.8686,13.5891,-0.099
255,VAY,22.5701,41.3211,-0.168
256,ARCES,25.5058,69.5349,-0.403
257,ARA0,25.5058,69.5349,-0.403
258,ARE0,25.5057,69.5348,-0.403
259,KKB,23.0833,41.8667,-0.434
260,XOR,23.1919,39.3661,-0.5
261,THE,22.965,40.6322,-0.07
262,BZS,21.6167,45.6167,-0.26
263,VLI,22.937,36.7182,-0.22
264,SIRR,21.6597,46.2675,-0.48
265,LIT,22.49,40.1008,-0.48
266,NEO,23.2235,39.3067,-0.5
267,LKR,22.9994,38.6506,-0.18
268,BEL,20.8167,51.8333,-0.18
269,AOS,23.88,39.1703,-0.2
270,AGG,22.3303,39.0222,-0.54
271,KYTH,23.0363,36.2807,-0.458
272,SKR,156.117,50.683,-0.022
273,KTK1,23.2371,69.0117,-0.34
274,KZN,21.7708,40.3067,-0.9
275,NIE,20.3131,49.4189,-0.649
276,EVR,21.8087,38.9167,-1.05
277,OJC,19.7984,50.2195,-0.391
278,FNA,21.3762,40.7838,-0.75
279,OHR,20.7989,41.1114,-0.739
280,ITM,21.9267,37.1797,-0.4
281,PSZ,19.8944,47.9184,-0.94
282,SKO,21.4396,41.9721,-0.346
283,PEA0,0.0,0.0,0.0
284,JAN,20.8508,39.6567,-0.54
285,BIA,21.3239,41.0194,-0.72
286,PVY,19.9735,42.595,-1.25
287,PETK,157.7,53.1,0.0
288,IVA,19.8981,42.8717,-0.945
289,RLS,21.4667,38.0578,-0.1
290,VLS,20.5897,38.1772,-0.375
291,VYHS,18.8361,48.494,-0.48
292,IGT,20.3325,39.5325,-0.32
293,OKC,18.1472,49.8375,-0.272
294,BUD,19.0239,47.4836,-0.196
295,PLE,19.3942,43.3299,-1.181
296,PET,158.6531,53.0239,-0.068
297,TIR,19.865,41.3477,-0.198
298,RAC,18.1942,50.0833,-0.209
299,KEK,19.7987,39.713,-0.28
300,TTG,19.2608,42.4297,-0.04
301,ULC,19.2497,41.9634,-0.465
302,PDG,0.0,0.0,0.0
303,UPM,18.91,43.2029,-1.721
304,NKY,18.9982,42.8129,-1.142
305,KMBO,37.2523,-1.1268,-1.94
306,GKP,17.2367,53.2697,-0.115
307,MORC,17.5425,49.7768,-0.743
308,BUM,18.8986,42.3008,-0.724
309,BRY,18.5439,42.9007,-1.367
310,TRO,18.9281,69.6325,-0.015
311,HCY,18.4984,42.4475,-0.273
312,MBWA,119.731,-21.159,-0.194
313,STON,17.6999,42.8716,-0.005
314,VRAC,16.5935,49.3083,-0.475
315,DPC,16.3222,50.3502,-0.748
316,KSP,16.2931,50.8428,-0.353
317,MTN,131.13,-12.8467,-0.08
318,SOP,16.5583,47.6833,-0.26
319,UPC,16.0121,50.5074,-0.416
320,BJO1,0.0,0.0,0.0
321,BSD,14.9147,55.1139,-0.088
322,RER,55.746,-21.159,-0.834
323,MOR8,14.4411,66.1713,-0.445
324,FITZ,125.639,-18.102,-0.11
325,CONA,15.8628,47.9288,-1.046
326,ARSA,15.5232,47.2505,-0.577
327,LOF,13.542,68.131,-0.08
328,PRU,14.5417,49.9883,-0.302
329,PVCC,14.5689,50.5282,-0.311
330,PERS,15.1167,46.6359,-0.795
331,PRA,14.4331,50.0703,-0.225
332,JAY,140.7047,-2.5148,-0.4
333,BRG,13.9458,50.8739,-0.296
334,SPA0,16.37,78.1777,-0.323
335,MOA,14.2659,47.8495,-0.572
336,RGN,13.3214,54.5477,-0.015
337,NVLJ,14.8711,44.5635,-0.02
338,NC405,11.7153,61.1128,-0.496
339,VISS,0.0,0.0,0.0
340,NC602,11.5414,60.7353,-0.305
341,NC303,11.369,61.2251,-0.401
342,OBKA,14.5489,46.5092,-1.0747
343,GEA0,13.7019,48.8368,-1.0276
344,NB201,11.2939,61.0495,-0.613
345,GERES,13.7016,48.8451,-1.1371
346,KHC,13.5782,49.1309,-0.695
347,GEC2,13.7016,48.8451,-1.1371
348,CUC,15.8156,39.9931,-0.665
349,LJU,14.5274,46.0437,-0.396
350,NB2,11.2148,61.0397,-0.717
351,NOA,11.2148,61.0397,-0.717
352,NAO01,10.8865,60.8442,-0.426
353,CLL,13.0026,51.3077,-0.23
354,NC204,10.7629,61.2759,-0.851
355,NBO02,10.8569,61.0492,-0.521
356,NBO00,10.7777,61.0307,-0.529
357,JAVS,0.0,0.0,0.0
358,CEL,15.8939,38.2594,-0.69
359,TRI,13.7642,45.7089,-0.161
360,KBA,13.3447,47.0784,-1.721
361,OSL,10.7227,59.9372,-0.07
362,LLD,12.215,55.3331,-0.008
363,BILL,166.2711,68.0389,-0.299
364,WET,12.8782,49.144,-0.613
365,KBS,11.9417,78.9256,-0.074
366,NKC,12.4479,50.2331,-0.564
367,DOMB,9.0642,62.0424,-0.66
368,MOX,11.6161,50.6461,-0.454
369,KONO,9.5982,59.6491,-0.216
370,AQU,13.4019,42.3539,-0.729
371,WTTA,11.6363,47.2638,-1.764
372,WATA,11.5763,47.3358,-1.492
373,MOTA,11.1037,47.3448,-1.575
374,FUR,11.2763,48.1655,-0.565
375,WDD,14.523,35.867,-0.041
376,MOL,7.548,62.57,-0.098
377,MUD,9.1733,56.455,-0.012
378,ODD1,6.628,59.912,-0.684
379,DAVA,9.8803,47.2867,-1.602
380,CLTB,13.2156,37.5786,-0.957
381,BLS5,6.456,59.4229,-0.54
382,STU,9.195,48.7719,-0.36
383,FOO,5.044,61.598,-0.01
384,TOD,8.8038,49.6057,-0.57
385,VLC,10.3864,44.1594,-0.555
386,TUE,9.3472,46.4722,-1.955
387,KMY,5.247,59.212,-0.058
388,SUE,4.761,61.057,-0.01
389,STAV,5.7022,58.9348,-0.028
390,BER,5.3339,60.3838,-0.05
391,ASK,5.195,60.483,-0.05
392,BFO,8.3303,48.3311,-0.589
393,BUG,7.2643,51.4455,-0.135
394,LANF,7.8053,48.9806,-0.5
395,WTSB,6.7989,51.9663,-0.043
396,WIT,6.6683,52.8133,-0.017
397,ECH,7.1583,48.2158,-0.58
398,MOF,7.133,47.8516,-1.085
399,HINF,6.8531,47.8167,-0.72
400,HGN,5.9317,50.764,-0.135
401,MEM,6.0066,50.6092,-0.25
402,SENIN,7.2993,46.3633,-2.035
403,LOMF,6.8275,47.3508,-1.0
404,WLF,6.1526,49.6646,-0.295
405,VSL,9.378,39.496,-0.37
406,LPL,6.7324,45.5164,-2.07
407,LPG,6.7514,45.4977,-2.57
408,GIVF,4.8233,50.1022,-0.295
409,WRA,134.3394,-19.9426,-0.419
410,WB2,134.3511,-19.9428,-0.388
411,BNI,6.6786,45.0522,-1.41
412,THEF,5.994,48.2282,-0.469
413,WRAB,134.3502,-19.9333,-0.366
414,SNF,4.2833,50.5086,-0.108
415,BAIF,4.2078,50.0592,-0.215
416,DOU,4.5942,50.096,-0.224
417,GDM,6.1161,45.2039,-1.574
418,GRN,5.7452,45.2425,-1.04
419,KEST,9.346,35.7318,-0.84
420,SMY,174.0994,52.7295,-0.058
421,NWAO,117.2339,-32.9269,-0.265
422,SSB,4.5419,45.2792,-0.7
423,SSF,3.506,47.0615,-0.355
424,AVF,3.3526,46.7906,-0.225
425,PLDF,3.6212,45.9698,-0.94
426,DAG,-18.77,76.77,0.0
427,CMAH,7.4197,36.625,-0.795
428,ABSA,7.4778,36.2733,-1.025
429,AGO,3.1311,46.0524,-0.523
430,CAEH,6.85,36.78,-0.383
431,LMK,-0.3266,53.4569,-0.13
432,PYM,3.0079,45.7506,-0.97
433,LBL,3.2469,45.2325,-0.95
434,COEN,143.1757,-13.9563,-0.0002
435,ASAR,133.9044,-23.6664,-0.607
436,AS01,133.9508,-23.6647,-0.605
437,MCD,-3.245,57.5828,-0.28
438,ESY,-2.6144,55.9178,-0.325
439,EDU,-3.0142,56.5475,-0.275
440,CWF,-1.3073,52.7383,-0.1865
441,CASM,6.49,36.26,-0.68
442,EDI,-3.1861,55.9233,-0.125
443,CTEI,6.4063,36.063,-1.285
444,PMG,147.1589,-9.4062,-0.065
445,MDO,-4.363,57.441,-0.366
446,ECK,-3.1272,55.1811,-0.336
447,ESK,-3.205,55.3167,-0.242
448,DFRA,5.8769,36.545,-1.187
449,BHH,-3.2181,55.0931,-0.216
450,WOL,-1.2228,51.3127,-0.156
451,RSC,-5.1684,58.3485,-0.06
452,LRDF,2.5387,42.9378,-0.4
453,SSW,-1.8499,51.9667,-0.291
454,FILF,2.5603,42.5603,-0.85
455,KAC,-5.2982,57.4999,-0.33
456,EAB,-4.34,56.1881,-0.25
457,KPL,-5.6527,57.3391,-0.036
458,CKHR,5.5122,36.0167,-1.28
459,SET,5.4,36.2,-1.0
460,VALF,2.0173,42.4018,-1.58
461,HGH,-2.8064,51.638,-0.21
462,RRH,-6.6882,57.9197,-0.103
463,PATS,158.0,7.0,0.0
464,FORT,128.059,-30.779,-0.165
465,GMK,-5.5936,55.3459,-0.16
466,GAMB,-171.7008,63.7767,-0.01
467,LPW,-4.0681,52.1136,-0.152
468,MELF,0.7592,42.8727,-0.94
469,GMM,-5.951,54.239,-0.14
470,ABA,3.035,36.8017,-0.345
471,RESF,0.3385,42.8077,-1.27
472,DYA,-3.9309,50.4352,-0.28
473,ADJB,3.438,36.1577,-1.14
474,QUIF,-3.1656,47.9167,-0.125
475,ATAF,4.2772,35.8737,-1.0
476,VIEF,0.0237,42.8837,-1.0
477,EMHD,2.953,36.2008,-1.25
478,SCO,-21.95,70.4833,-0.069
479,OSSF,-1.2618,43.256,-0.24
480,DSB,-6.3762,53.2452,-0.236
481,ATE,-0.7003,43.0858,-0.48
482,LARF,-0.9875,43.038,-0.67
483,WAKE,166.6536,19.2833,-0.0002
484,EBNR,1.5302,36.2905,-0.636
485,LSZ,28.1882,-15.2766,-1.1848
486,EANR,1.1,35.95,-0.727
487,ECHA,1.3667,36.15,0.0
488,ETRT,1.3,35.39,-1.221
489,ATKA,-174.1955,52.2027,-0.055
490,VAL,-10.2442,51.9394,-0.014
491,SPIA,-170.2455,57.1776,-0.084
492,OKGL,0.643,36.038,-0.56
493,OJBR,0.345,35.5835,-0.8
494,OJGS,0.7497,35.5045,-0.92
495,OTSS,-0.7942,35.2817,-1.055
496,BORG,-21.3268,64.7474,-0.11
497,CTAO,146.2544,-20.0883,-0.357
498,TAM,5.527,22.791,-1.377
499,USTO,-0.5722,35.7,-0.405
500,SUMG,-38.4538,72.5763,-3.275
501,ES19,-3.8991,39.7006,-0.7208
502,ESDC,-3.9631,39.6742,-0.753
503,ESLA,-3.9631,39.6742,-0.752
504,PAB,-4.3483,39.5458,-0.925
505,MATP,28.4994,-20.4258,-1.215
506,PBRG,-6.7413,41.8048,-0.691
507,BBOO,136.0565,-32.811,-0.285
508,COLD,-150.2013,67.2274,-0.3773
509,MVO,-7.0289,41.1644,-0.86
510,TT01,-156.0204,62.9066,-0.3804
511,TTA,-156.0116,62.9301,-0.99
512,UNV,-166.502,53.8465,-0.067
513,PCAB,-8.027,41.7102,-0.577
514,PVRL,-7.7161,41.2756,-0.66
515,MTE,-7.5367,40.4033,-0.815
516,PCBR,-7.4775,39.8403,-0.18
517,PVIS,-7.8945,40.7157,-0.72
518,PTO,-8.6022,41.1386,-0.088
519,PTOM,-8.4107,39.618,-0.21
520,EVO,-8.013,38.532,-0.235
521,FYU,-145.2317,66.566,-0.137
522,COLA,-147.8511,64.8738,-0.074
523,MDM,-148.2295,64.9588,-0.634
524,CCB,-147.8055,64.6467,-0.219
525,STKA,141.5952,-31.8769,-0.23
526,KTH,-150.9217,63.553,-0.975
527,WRH,-148.0898,64.4713,-0.314
528,RES,-94.9,74.6867,-0.015
529,PBEJ,-7.8664,38.0264,-0.27
530,LIS,-9.1491,38.7165,-0.077
531,TRF,-150.2873,63.451,-1.717
532,ILAR,-146.8866,64.7714,-0.419
533,IL1,-146.8861,64.7716,-0.418
534,ILB,-146.8866,64.7714,-0.419
535,MCK,-148.935,63.7323,-0.61
536,MORF,-8.6508,37.3063,-0.65
537,RND,-148.8528,63.4062,-0.991
538,SDPT,-160.4766,55.3493,-0.074
539,HDA,-146.9538,64.4058,-0.45
540,PTEO,-8.7242,37.5456,-0.119
541,SPU,-152.0543,61.1817,-0.8
542,HNR,159.9471,-9.4322,-0.072
543,PMST,-9.1833,38.7368,-0.175
544,RSO,-152.7538,60.4622,-1.921
545,SUA,-150.7433,61.4638,-1.297
546,INK,-133.52,68.3067,-0.04
547,DHY,-147.3733,63.0763,-1.615
548,PFVI,-8.8268,37.1328,-0.189
549,PMR,-149.1308,61.5922,-0.1
550,RC01,-149.7367,61.0894,-0.374
551,SML,-148.333,61.8082,-0.74
552,BRLK,-150.8855,59.7642,-0.631
553,DOT,-144.0625,63.6487,-0.671
554,HOM,-151.6433,59.6583,-0.198
555,PAX,-145.4687,62.9708,-1.13
556,SCM,-147.3277,61.8333,-1.02
557,CNPM,-151.236,59.5258,-0.564
558,EIDS,151.0817,-25.3691,-0.216
559,SFJD,-50.6226,66.9967,0.0
560,KDAK,-152.5835,57.7828,-0.064
561,SEW,-149.4493,60.1037,-0.055
562,TORD,1.7,13.1,0.0
563,KLU,-145.9202,61.4928,-1.012
564,GLI,-147.0942,60.8797,-0.429
565,DIV,-145.7717,61.1295,-0.931
566,FID,-146.479,60.75,-0.457
567,DAWY,-139.3909,64.0655,-0.808
568,EYAK,-145.7479,60.5493,-0.1463
569,BMRM,-144.603,60.9682,-0.823
570,RAGM,-144.6752,60.387,-0.739
571,BOSA,25.2555,-28.6141,-1.202
572,CRQM,-143.1392,60.7567,-1.853
573,ARMA,151.628,-30.4198,-1.13
574,PCA,-140.2567,60.0967,-0.975
575,WHY,-134.8807,60.6597,-1.292
576,CAN,148.9986,-35.3208,-0.65
577,PMPS,-16.333,33.057,-0.047
578,SUR,20.8117,-32.38,-1.76
579,PMAR,-16.9137,32.7237,-1.605
580,BESE,-134.8543,58.5796,-0.8702
581,FUL,-16.9,32.6333,-0.058
582,YKA,-114.6053,62.4932,-0.197
583,DLBC,-130.0272,58.4372,-0.978
584,TAU,147.3204,-42.9099,-0.132
585,DBIC,-4.8563,6.6701,-0.025
586,KIC,-4.7411,6.3606,-0.176
587,TIC,-5.02,6.6447,-0.263
588,CMLA,-25.5243,37.7637,-0.332
589,LIC,-5.0278,6.2244,-0.105
590,PSMA,-25.1288,36.995,-0.123
591,DZM,166.4444,-22.0711,-0.905
592,PSET,-25.7208,37.8233,-0.475
593,ADH,-27.235,38.655,-0.083
594,ROSA,-28.2415,38.7195,-0.31
595,PMAN,-28.089,38.6327,-0.18
596,PGRA,-27.9813,39.0293,-0.245
597,PICO,-28.4256,38.5008,-0.775
598,PCAN,-28.4853,38.4637,-0.4
599,PCED,-28.7017,38.6283,-0.2
600,MIR,93.0167,-66.5514,-0.034
601,FCC,-94.0867,58.7617,-0.039
602,SCHQ,-66.8336,54.8319,-0.501
603,MAW,62.8706,-67.6039,-0.012
604,EDM,-113.35,53.2217,-0.73
605,DRLN,-57.5042,49.256,-0.238
606,VAE,14.4119,37.4783,-0.69
607,DAVOX,9.8797,46.7806,-1.83
608,JMIC,-8.5167,70.9883,0.0
609,GTK,88.6167,27.3333,-1.765
610,TAPN,87.71,27.35,-2.53
611,SLGI,88.4167,26.7,0.0
612,ODAN,87.39,26.86,-2.045
613,RAMN,86.6,26.95,-2.134
614,JIRN,86.19,27.66,-3.064
615,GUN,85.8794,27.9106,-2.9
616,PKI,85.409,27.571,-2.758
617,KKN,85.28,27.79,-1.92
618,DMN,85.106,27.609,-2.225
619,TURI,90.3333,25.55,-0.305
620,GKN,84.637,28.003,-1.478
621,LSA,91.15,29.7,-3.789
622,SHL,91.8833,25.5667,-1.6
623,KOLN,83.6,27.77,-1.83
624,BOK,85.8858,23.7948,-0.282
625,AGT,91.25,23.8833,-0.017
626,IMP,93.9333,24.7833,-0.785
627,LKP,96.0667,27.3333,-0.148
628,PTH,80.2167,29.55,-1.669
629,BWNR,85.8058,20.2955,0.0
630,KALG,78.7537,29.5062,0.0
631,PYUN,82.99,28.1,-1.867
632,JBP,79.9833,23.1667,0.0
633,JHNI,78.5395,25.4658,0.0
634,DDI,78.0556,30.3225,-0.682
635,BISR,77.439,28.571,0.0
636,NDI,77.2167,28.6833,-0.23
637,SONA,77.0833,28.25,0.0
638,BHGR,76.9388,28.6877,0.0
639,SMLA,77.1667,31.1283,-1.0
640,KKR,76.8207,29.9615,-0.257
641,RTK,76.4143,29.0333,0.0
642,SDNR,76.97,31.5,-0.5
643,BHPL,77.4245,23.241,-0.52
644,NGP,79.05,21.15,-0.311
645,KHET,75.806,28.074,-0.33
646,BHK,76.4167,31.4167,-0.41
647,VIS,83.3287,17.721,-0.082
648,PONG,75.95,31.9533,0.0
649,THN,75.7167,32.4333,-0.621
650,AJM,74.6431,26.4792,-0.54
651,KGD,80.6571,17.5767,0.0
652,HYB,78.5531,17.4169,-0.51
653,CM01,98.9588,18.4205,-0.292
654,CM31,98.9429,18.4575,-0.3066
655,CMAR,98.9429,18.4575,-0.307
657,SARP,72.6718,31.9215,-0.183
660,CHCP,73.2638,33.6583,-0.579
665,THW,71.7427,32.7943,-0.533
666,CEP,71.909,33.8235,-1.376
671,SLVN,103.905,21.3338,-0.7
672,POO,73.8492,18.5295,-0.56
676,MDRS,80.2463,13.068,-0.015
678,GYA,106.6639,26.4586,-1.162
683,BHJ,69.654,23.254,-0.08
