,0,1,2,3
689,KBL,69.0432,34.5408,-1.92
692,GOA,73.8247,15.4917,-0.058
694,FRU,74.6167,42.8333,-0.655
695,MNAS,72.504,42.487,-1.515
696,MKAR,82.3,46.77,0.0
697,YAK,129.6811,62.0311,-0.091
698,HYA,6.187,61.166,-0.03
699,WB0,134.3928,-19.7671,-0.3621
700,WB9,134.384,-19.7914,-0.36
701,WB8,134.3808,-19.8139,-0.3561
702,WB6,134.3672,-19.8549,-0.3648
703,WB5,134.3662,-19.8782,-0.3709
704,WB4,134.3589,-19.9036,-0.3806
705,WC1,134.3391,-19.9243,-0.392
706,WB3,134.3555,-19.923,-0.3842
707,WR1,134.3395,-19.9426,-0.3888
708,WC2,134.3654,-19.9254,-0.375
709,WC4,134.3397,-19.9619,-0.3875
710,WR2,134.3624,-19.9469,-0.3854
711,WC3,134.3719,-19.9587,-0.3821
712,WR3,134.3869,-19.9485,-0.3765
713,WR4,134.4066,-19.9503,-0.3744
714,WR5,134.4304,-19.9522,-0.3642
715,WR7,134.476,-19.9552,-0.3548
716,WR9,134.5149,-19.9577,-0.3602
717,WR0,134.5405,-19.9597,-0.353
768,PAF,70.2133,-49.3506,-0.017
777,MID,-146.3388,59.4278,-0.037
790,FFC,-101.9783,54.725,-0.338
791,LLLB,-121.8815,50.609,-0.7
792,PGC,-123.4508,48.65,-0.005
794,NEW,-117.12,48.2633,-0.76
795,ULM,-95.875,50.2497,-0.281
796,HAWA,-119.5326,46.3925,-0.364
797,SYO,39.5921,-69.0088,-0.02
798,DGMT,-104.1952,48.4701,0.0
800,SHEL,-5.7457,-15.9588,-0.537
801,WALA,-113.9115,49.0586,-1.4
802,SACV,-23.6085,14.9702,-0.387
803,OUZ,173.5961,-35.2214,-0.04
804,DCZ,167.1542,-45.4783,-0.02
806,COR,-123.3032,44.5857,-0.121
807,LMQ,-70.3267,47.5483,-0.419
808,MLZ,168.1728,-45.3481,-0.64
809,BMO,-117.3056,44.8489,-1.189
812,BOZ,-111.6296,45.647,-1.589
813,WVOR,-118.6367,42.4339,-1.344
814,LMN,-64.806,45.852,-0.363
816,WHZ,167.9475,-45.8947,-0.32
817,FOZ,169.6885,-43.5649,0.0
818,WKZ,169.0174,-44.8285,0.0
819,MSO,-113.9406,46.8292,-1.264
820,VLDQ,-77.4536,48.1124,-0.093
821,KEBM,-124.3343,42.8722,-0.818
822,LBZ,170.1843,-44.3871,0.0
823,RPZ,171.054,-43.7174,-0.468
825,KBO,-124.226,42.2123,-1.008
826,ODZ,170.6444,-45.0453,-0.27
827,HUMO,-122.9583,42.6086,0.0
828,LTZ,172.2688,-42.7828,-0.64
829,THZ,172.9037,-41.7638,-0.76
830,HIZ,174.8554,-38.5147,0.0
832,EYMN,-91.495,47.9462,-0.475
833,ASCN,-14.3601,-7.9327,-0.173
834,LAO,-106.2222,46.6886,-0.744
835,CRLZ,172.6208,-43.5769,-0.03
836,MQZ,172.6522,-43.7078,-0.06
837,HLID,-114.4138,43.5625,-1.772
838,IMW,-110.9392,43.897,-2.646
839,RSSD,-104.0362,44.1204,-2.06
840,KRMB,-123.908,41.523,-1.265
841,KHZ,173.5403,-42.418,-0.07
842,PDAR,-109.5579,42.7667,-2.2144
844,HWUT,-111.5652,41.6069,-1.83
845,NVL,11.8333,-70.7667,-0.107
846,VNDA,161.8528,-77.5172,-0.121
876,YBH,-122.7104,41.732,-1.0597
877,WVL,-69.6575,44.5648,-0.085
878,SNZO,174.7046,-41.3103,0.012
879,JCC,0.0,0.0,0.0
880,KHMM,-123.7315,40.8747,-1.509
882,BKZ,176.4901,-39.1672,0.0
884,MOD,-120.3029,41.9024,-1.5545
885,URZ,177.1103,-38.2603,-0.1
886,LBNH,-71.9259,44.2401,-0.367
889,BFZ,176.246,-40.6817,-0.318
891,WDC,-122.5411,40.5799,-0.2683
893,MXZ,178.3066,-37.564,0.0
894,HNH,-72.2856,43.7053,-0.18
895,KCPM,-123.5824,39.6863,-1.261
896,FFD,-71.6533,43.4701,-0.1311
897,MOOW,-110.7448,43.7486,-2.128
898,LOHW,-110.6037,43.6124,-2.121
899,TPAW,-110.9506,43.4901,-2.512
900,SNOW,-110.7552,43.4625,-2.39
901,REDW,-110.8518,43.3624,-2.192
904,HOPS,-123.0723,38.9935,-0.2991
905,ORV,-121.5004,39.5545,-0.3347
906,HRV,-71.5583,42.5064,-0.18
907,WES,-71.3221,42.3847,-0.06
908,BCX,-71.1705,42.335,-0.061
911,ACSO,-82.982,40.2319,-0.288
916,DAC,-117.5937,36.277,-1.8136
939,SBA,166.7574,-77.8489,-0.02
942,KSU1,-96.6094,39.1009,-0.3475
950,PFO,-116.4553,33.6092,-1.28
956,BAR,-116.6721,32.6801,-0.496
960,WUAZ,-111.3739,35.5169,-1.592
963,LAZ,-107.1393,34.402,-1.853
972,SNAA,-2.8379,-71.6707,-0.846
973,WVT,-87.83,36.13,-0.153
976,GDXM,-122.7938,38.8077,-0.931
977,TRY,-73.6669,42.7311,-0.131
978,BW06,-109.5582,42.7667,-2.224
979,QUA2,-72.3525,42.2789,-0.168
980,BMN,-117.2218,40.4315,-1.5941
981,BRYW,-71.5388,41.9178,-0.38
982,AFDM,-120.9723,38.948,-0.549
987,BINY,-75.9861,42.1993,-0.498
988,YLE,-72.9365,41.315,-0.005
989,WAKR,-119.4372,38.5044,-1.89
990,CMB,-120.3865,38.0346,-0.697
995,ERPA,-79.9891,42.1175,-0.3063
996,DUG,-112.8133,40.195,-1.477
997,JFWS,-90.2481,42.9142,-0.335
998,AAM,-83.6567,42.3012,-0.172
999,SAO,-121.4472,36.764,-0.3172
1000,PHWY,0.0,0.0,0.0
1001,XMAS,-157.4453,2.0448,-0.001
1003,SSPA,-77.888,40.6358,-0.158
1007,ISCO,-105.6134,39.7997,-2.743
1008,TPNV,-116.2495,36.9488,-1.6
1011,MCWV,-79.8456,39.6581,-0.28
1013,SHPR,-115.1602,36.5055,-1.59
1015,IKP,-116.108,32.6488,-0.957
1020,GLA,-114.827,33.052,-0.627
1023,TKL,-83.7742,35.6581,-0.35
1028,CPCT,-84.5218,35.4497,-0.275
1031,QSPA,145.0,-89.9279,-2.657
1032,AMTX,0.0,0.0,0.0
1034,WMOK,-98.781,34.7379,-0.486
1037,BNM,-106.6278,34.1502,-2.121
1043,JSC,-81.2603,34.2817,-0.12
1044,SWET,-85.932,35.2163,-0.581
1047,MIAR,-93.5765,34.5454,-0.207
1048,UALR,-92.3436,34.7753,-0.138
1050,VNA2,-7.3921,-70.9258,-0.35
1054,TUC,-110.7842,32.3097,-0.906
1057,VNA3,-9.6704,-71.2431,-0.48
1058,OXF,-89.4092,34.5118,-0.101
1062,VNA1,-8.2567,-70.6625,-0.03
1089,GOGA,-83.4666,33.4112,-0.15
1090,LRAL,-86.9978,33.0348,-0.13
1094,CPRX,-103.8667,33.0308,-1.356
1098,MNTX,-105.5,31.75,0.0
1130,OSI,-118.7235,34.6145,-0.676
1131,CBN,-77.3732,38.2046,-0.07
1132,GSC,-116.8057,35.3018,-1.0
1133,BLO,-86.5222,39.1719,-0.246
1136,CBKS,-99.7374,38.814,-0.677
1138,MWC,-118.0577,34.2238,-1.73
1140,SDCO,-105.5012,37.7456,-2.569
1141,LDFC,-115.1096,35.0781,-1.209
1142,SNCC,-119.524,33.248,-0.197
1143,SLM,-90.2361,38.6361,-0.161
1144,TRIS,0.0,0.0,0.0
1146,WCI,-86.2938,38.229,-0.5
1148,BLA,-80.421,37.2113,-0.634
1149,USIN,-87.666,37.9651,-0.1707
1150,BBSR,-64.6962,32.3712,0.0254
1155,ANMO,-106.4602,34.9502,-1.743
1156,PVMO,-89.6997,36.4137,-0.0983
1158,MET,-89.934,35.122,-0.093
1163,JCT,-99.8022,30.4794,-0.591
1172,TXAR,-103.667,29.3338,-1.013
1195,PAE,-149.58,-17.6619,-0.01
1197,TIAR,-149.3458,-17.5578,-0.3
1199,SJG,-66.15,18.1117,-0.457
1200,VAH,-147.6272,-15.2364,-0.002
1201,NHSC,-80.1778,33.1067,-0.011
1206,TBI,-149.4608,-23.3489,-0.02
1207,HUMP,-65.8497,18.1425,-0.178
1208,PPT,-149.5761,-17.5683,-0.258
1209,CELP,-66.5795,18.0746,-0.195
1210,AGP,-67.141,18.4075,-0.22
1211,ZAIG,-102.567,22.769,-2.537
1213,CXM,-61.1685,14.8113,-1.24
1214,FDF,-61.1503,14.7333,-0.51
1215,DWPF,-81.4328,28.1103,0.1424
1226,PCRV,-64.6361,10.1762,-0.45
1229,PTGA,-59.9666,-0.7308,-0.137
1230,PMSA,-64.049,-64.7742,-0.01
1232,CMIG,-94.884,17.091,-0.2
1233,CCIG,-92.137,16.282,-1.5
1236,MOIG,-101.1889,19.6779,-1.275
1237,TEIG,-88.2764,20.2263,-0.069
1238,LVIG,-96.4177,19.7232,-0.041
1239,UNM,-99.178,19.329,-2.257
1243,SDV,-70.6333,8.8861,-1.58
1244,CAPC,-77.3573,8.604,-0.05
1246,RKT,-134.9733,-23.1197,-0.05
1247,JTS,-84.9525,10.2908,-0.34
1248,RUSC,-73.0755,5.9271,-3.356
1251,OCAC,-73.3193,8.2388,-1.264
1252,HELC,-75.5477,6.2341,-2.788
1253,NORC,-74.8929,5.5964,-0.508
1254,SOLC,-77.4576,6.37,-0.051
1255,BARC,-73.1764,6.6434,-1.859
1257,ROSC,-74.3301,4.8563,-3.017
1259,TOLC,-75.3399,4.5888,-2.516
1261,EFI,-58.0637,-51.6753,-0.03
1262,PRAC,-74.9013,3.6953,-0.414
1264,GUVC,-72.6273,2.5448,-0.217
1265,CHIC,-73.7306,4.633,-3.102
1266,PTCN,-130.0953,-25.0714,-0.2231
1267,MALC,-77.3353,4.0136,-0.05
1268,BETC,-75.4413,2.6814,-0.54
1269,SAML,-63.1832,-8.9488,-0.099
1270,SPB,-47.432,-23.592,-0.085
1271,HDC,-84.114,10.0013,-1.15
1273,USHA,-68.4343,-54.832,-0.107
1274,CPUP,-57.3292,-26.3306,-0.005
1275,OTAV,-78.4508,0.2376,-3.492
1276,SIV,-61.0722,-15.9913,-0.52
1277,CRUC,-76.9523,1.4987,-2.743
1278,TUMC,-78.7256,1.8355,-0.05
1279,CMBC,-77.8419,0.8594,-3.42
1280,TRQA,-61.9795,-38.0567,-0.501
1281,LPAZ,-68.1307,-16.2879,-4.774
1282,PAYG,-90.2858,-0.674,-0.1957
1283,ATAH,-78.395,-7.001,-3.27
1284,PLCA,-70.5508,-40.7328,-0.956
1286,LVC,-68.9113,-22.6128,-2.165
1288,NNA,-76.8422,-11.9873,-0.575
1289,LCO,-70.701,-29.0111,-2.299
1293,RCBR,-35.9014,-5.8275,-0.42
1294,SADO,-79.1417,44.7694,-0.243
