Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
1979/05/20,22:59:11.00,,,30.2700,80.3300,,,,3.0,,,,,,,uk,MOS,1473130
1979/05/20,22:59:13.63,,0.920,29.9290,80.2970,3.7,2.3,28,17.7,2.4,435,356,,,,ke,EHB,9236793
1979/05/20,22:59:13.77,,,29.9320,80.2950,,,,18.5,,,,,,,,CENT,602324885
1979/05/20,22:59:13.84,,0.980,29.9430,80.2990,3.9,2.4,29,19.3,1.4,440,362,,,,m i ke,ISC-EHB,612135528
1979/05/20,22:59:14.20,,,30.0290,80.3100,,,,33.0,,,284,,,,fe,NEIS,1473131
1979/05/20,22:59:14.20,0.70,,29.5800,80.3200,,,,15.0f,,21,9,,,,,GCMT,605177804
1979/05/20,22:59:12.094641,,,30.150146,80.323457,,,,0.097819,,,,,,,,1979,
