Date,Time,Latitude,Longitude,Depth,Author
1934/01/15,08:43:18,26.5,86.5,35.0,GUTE
1934/01/15,08:43:25,26.6,86.8,,ISS
1934/01/15,08:43:25.39,26.773,86.762,35.0,CENT
1934/01/15,08:43:30,26.0,85.5,,CGS
1934/01/15,08:43:25.58,26.8847,86.5885,15.0,ISC
1934/01/15,08:43:25,27.29,87.1048,62.9954,NLL
