Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
1934/01/15,08:43:18,,,26.5000,86.5000,,,,35.0,,,,,,,uk,GUTE,1949348
1934/01/15,08:43:25,,,26.6000,86.8000,,,,,,,,,,,uk,ISS,1949349
1934/01/15,08:43:25.39,,,26.7730,86.7620,,,,35.0,,,,,,,,CENT,602319468
1934/01/15,08:43:30,,,26.0000,85.5000,,,,,,,,,,,uk,CGS,1949350
1934/01/15,08:43:25.58,0.31,4.105,26.8847,86.5885,7.18,4.958,25,15.0,,252,206,46,14.97,154.38,m i ke,ISC,605952093
1934/01/15,08:43:25,,,27.2900,87.1048,,,,62.9954,,,,,,,,NLL,
