Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
1956/07/21,15:32:25,,,23.0000,70.0000,,,,,,,,,,,uk,CGS,1922550
1956/07/21,15:32:26,,,23.3400,70.0200,,,,,,,,,,,uk,ISS,1922549
1956/07/21,15:32:27,,,23.6000,70.0000,,,,,,,,,,,uk,SHL,1922551
1956/07/21,15:32:28,,,23.3000,69.8000,,,,,,,,,,,uk,BCIS,1922552
1956/07/21,15:32:30,,,23.0000,70.0000,,,,,,,,,,,uk,MOS,1922553
1956/07/21,15:32:30,,,24.0000,70.0000,,,,,,,,,,,uk,QUE,1922554
1956/07/21,15:32:30.09,0.26,2.936,23.2781,70.1069,5.53,4.003,29,15.0,,306,179,38,5.04,145.30,m i ke,ISC,605955979
1956/07/21,15:32:45.78,,,23.276367,70.070043,,,,152.206380,,,,,,,,NLL,
