Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
1964/09/26,00:46:00.63,,1.060,29.8990,80.4650,6.5,4.6,31,19.7,3.5,174,140,,,,m i ke,ISC-EHB,612106074
1964/09/26,00:46:00.75,,,29.8880,80.4800,,,,20.8,,,,,,,,CENT,602320987
1964/09/26,00:46:02.80,,0.600,30.1000,80.7000,,,,50.0,,32,,,,,uk,USCGS,1882184
1964/09/26,00:46:02.96,,1.060,29.9260,80.4670,6.6,4.6,34,35.0f,,173,138,,,,ke,EHB,9208822
1964/09/26,00:46:03.00,,,30.4000,80.3000,,,,33.0,,,,,,,uk,MOS,1882185
1964/09/26,00:46:03,,,29.9600,80.4600,,,,,,,,,,,,EVBIB,601079273
1964/09/26,00:46:5.296960,,,30.197754,80.507813,,,,39.323242,,,,,,,,1964,
