"Sta","Latitude","Longitude","Elevation","Dist","EvAz","Phase","Time","TRes"
HAM,53.46510,9.92478,30.0,61.07,318.3,P,08:53:39.0,0.3
HAM,53.46510,9.92478,30.0,61.07,318.3,S,09:02:02.0,5.0
GTT,51.54640,9.96417,272.0,61.29,316.2,P,08:53:36,-4.3
GTT,51.54640,9.96417,272.0,61.29,316.2,pP,08:53:42,-3.1
GTT,51.54640,9.96417,272.0,61.29,316.2,pP,08:53:42,-3.1
GTT,51.54640,9.96417,272.0,61.29,316.2,L,08:54:00,___
GTT,51.54640,9.96417,272.0,61.29,316.2,08:54:04,___,25000.0
GTT,51.54640,9.96417,272.0,61.29,316.2,AMB,08:54:04,___
GTT,51.54640,9.96417,272.0,61.29,316.2,PP,08:56:17,22.0
GTT,51.54640,9.96417,272.0,61.29,316.2,PR1,08:56:22,___
GTT,51.54640,9.96417,272.0,61.29,316.2,PPP,08:57:28,___
GTT,51.54640,9.96417,272.0,61.29,316.2,08:58:30,___,_e
GTT,51.54640,9.96417,272.0,61.29,316.2,S,09:01:51,-8.9
GTT,51.54640,9.96417,272.0,61.29,316.2,S,09:02:04,4.1
GTT,51.54640,9.96417,272.0,61.29,316.2,S,09:02:04,4.1
GTT,51.54640,9.96417,272.0,61.29,316.2,smax,09:02:35,___
GTT,51.54640,9.96417,272.0,61.29,316.2,smax,09:02:35,___
GTT,51.54640,9.96417,272.0,61.29,316.2,ScPcS,09:03:30,___
GTT,51.54640,9.96417,272.0,61.29,316.2,SS,09:06:04,4.1
GTT,51.54640,9.96417,272.0,61.29,316.2,mSR1,09:06:30,___
GTT,51.54640,9.96417,272.0,61.29,316.2,mSR1,09:06:30,___
GTT,51.54640,9.96417,272.0,61.29,316.2,SSS,09:07:36,___
GTT,51.54640,9.96417,272.0,61.29,316.2,M,09:17:00,___
GTT,51.54640,9.96417,272.0,61.29,316.2,M,09:17:00,___
GTT,51.54640,9.96417,272.0,61.29,316.2,M,09:21:54,___
GTT,51.54640,9.96417,272.0,61.29,316.2,M,09:22:30,___
