Date,Time,Err,RMS,Latitude,Longitude,Smaj,Smin,Az,Depth,Err,Ndef,Nsta,Gap,mdist,Mdist,Qual,Author,OrigID
1945/06/04,12:08:55,,,30.0000,80.0000,,,,,,,,,,,uk,CGS,1939932
1945/06/04,12:08:55,,,30.3000,80.0000,,,,,,,,,,,uk,ISS,1939933
1945/06/04,12:09:06,,,30.0000,80.0000,,,,60.0,,,,,,,uk,GUTE,1939931
1945/06/04,12:08:59.67,0.44,3.368,30.2180,80.0822,7.67,6.316,81,15.0f,,102,67,89,2.93,147.91,m i ke,ISC,605952757
1945/06/04,12:09:0.629707,,,30.1978,80.5078,,,,31.4977,,,,,,,,NLL,
